,county,num_blocks,num_tracts
653,18109,3612,13
654,18111,1145,4
655,18113,2642,10
656,18115,343,2
657,18117,1553,6
658,18119,1888,5
659,18121,1565,4
660,18123,1572,5
661,18125,1546,4
662,18127,4172,33
663,18129,1935,7
664,18131,1854,4
665,18133,1832,7
666,18135,3049,8
667,18137,2091,6
668,18139,1354,5
669,18141,10618,75
670,18143,1001,5
671,18145,2826,10
672,18147,2158,5
673,18149,2216,7
674,18151,2149,9
675,18153,1836,5
676,18155,669,3
677,18157,3800,37
678,18159,1096,4
679,18161,860,2
680,18163,3941,49
681,18165,2225,5
682,18167,6210,28
683,18169,3437,8
684,18171,1338,2
685,18173,1941,11
686,18175,1901,6
687,18177,2878,17
688,18179,1434,7
689,18181,2915,8
690,18183,1340,7
691,19001,1680,3
692,19003,1101,2
693,19005,1431,5
694,19007,1544,5
695,19009,1265,3
696,19011,2815,7
697,19013,4728,38
698,19015,2701,7
699,19017,1576,8
700,19019,2390,6
701,19021,1615,6
702,19023,1733,5
703,19025,1885,4
704,19027,1957,6
705,19029,2124,5
706,19031,2036,5
707,19033,2684,11
708,19035,1929,4
709,19037,1710,4
710,19039,1314,3
711,19041,1790,4
712,19043,1714,6
713,19045,2469,12
714,19047,2440,5
715,19049,2628,15
716,19051,1360,2
717,19053,1472,3
718,19055,1696,4
719,19057,2448,11
720,19059,1510,5
721,19061,2918,26
722,19063,1300,4
723,19065,2693,7
724,19067,2075,5
725,19069,2012,3
726,19071,1836,3
727,19073,1539,4
728,19075,1132,4
729,19077,1886,3
730,19079,1612,5
731,19081,1433,4
732,19083,1834,6
733,19085,1984,5
734,19087,2255,5
735,19089,1327,3
736,19091,1562,4
737,19093,1456,3
738,19095,1903,4
739,19097,1927,6
740,19099,3168,9
741,19101,1932,4
742,19103,3182,24
743,19105,2168,5
744,19107,1463,4
745,19109,2715,6
746,19111,2106,11
747,19113,6241,45
748,19115,1608,3
749,19117,998,4
750,19119,1151,3
751,19121,2032,3
752,19123,1775,7
753,19125,1900,8
754,19127,2309,10
755,19129,1838,5
756,19131,1231,3
757,19133,1815,4
758,19135,930,3
759,19137,1777,4
760,19139,2232,10
761,19141,1917,4
762,19143,1259,2
763,19145,2272,6
764,19147,1973,4
765,19149,2237,6
766,19151,1940,3
767,19153,9891,98
768,19155,4592,30
769,19157,1889,5
770,19159,1542,2
